design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_2_B2_S2,rule_baseline,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-random_forest,false_positive_rate,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-random_forest,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-xgboost,false_positive_rate,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-xgboost,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-random_forest,mcc,0.7071067811865476,0.4472135954999579,1.0,False
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-random_forest,false_positive_rate,-0.6666666666666667,-1.0,-0.33333333333333337,False
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-random_forest,balanced_accuracy,0.33333333333333326,0.16666666666666663,0.5,False
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-xgboost,mcc,0.7071067811865476,0.4472135954999579,1.0,False
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-xgboost,false_positive_rate,-0.6666666666666667,-1.0,-0.33333333333333337,False
family_holdout_2_B2_S2,telemetry_only-logistic_regression,telemetry_only-xgboost,balanced_accuracy,0.33333333333333326,0.16666666666666663,0.5,False
family_holdout_2_B2_S2,telemetry_only-random_forest,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
